Correct,Sid,Substep,KC,Prediction
2,153100,ex222_select_principle,1,0.207957778
2,153100,ex222_apply_principle,1,0.342741688
1,153100,ex222_select_principle,2,0.850789051
1,153100,ex222_apply_principle,2,0.871020799
1,153100,ex222_select_principle,2,0.878015815
1,153100,ex222_apply_principle,2,0.880359306
1,153100,ex222_select_principle,2,0.881136102
1,153100,ex222_apply_principle,2,0.881392674
1,153100,exc137_apply_principle,3,0.43177888
2,153100,exc137_select_principle,4,0.47223293
1,153100,exc137_apply_principle,4,0.458225958
1,153100,exc137_apply_principle,2,0.88147732
1,153100,ex132a_select_principle,5,0.551911431
1,153100,ex132a_apply_principle,5,0.756259963
1,153100,ex132a_select_principle,6,0.408338665
1,153100,ex132a_select_principle,2,0.881505234
1,153100,ex132a_apply_principle,2,0.881514438
1,153100,ex132_select_principle,2,0.881517473
1,153100,ex132_apply_principle,2,0.881518474
1,153100,ex132_select_principle,6,0.639704429
1,153100,ex132_select_principle,3,0.593220982
1,153100,ex132_select_principle,2,0.881518804
1,153100,ex132_apply_principle,2,0.881518913
2,153100,ex132_select_principle,6,0.699266614
1,153100,ex132_apply_principle,6,0.691538727
1,153100,ex132_apply_principle,3,0.708817898
1,153100,ex132_select_principle,2,0.881518949
1,153100,ex132_apply_principle,2,0.88151896
1,153100,ex152a_select_principle,5,0.839309505
1,153100,ex152a_apply_principle,5,0.861504253
1,153100,ex152a_select_principle,3,0.759237847
1,153100,ex152a_select_principle,3,0.776420778
1,153100,ex152a_apply_principle,3,0.781766785
1,153100,ex152a_apply_principle,2,0.881518964
1,153100,ex152a_select_principle,1,0.387410375
1,153100,ex152a_select_principle,2,0.881518966
1,153100,ex152a_apply_principle,2,0.881518966
1,153100,ex152a_apply_principle,2,0.881518966
1,153100,ex152b_select_principle,5,0.866711124
1,153100,ex152b_apply_principle,6,0.707146007
1,153100,ex152b_select_principle,2,0.881518966
1,153100,ex152b_apply_principle,2,0.881518966
1,153100,ex152b_select_principle,2,0.881518966
1,153100,ex152b_select_principle,6,0.709292221
1,153100,ex152b_apply_principle,4,0.597350378
1,153100,ex152b_apply_principle,2,0.881518966
1,153100,ex152b_apply_principle,2,0.881518966
1,153100,ex152_select_principle,5,0.867894033
1,153100,ex152_apply_principle,5,0.86816079
1,153100,ex152_select_principle,4,0.666568521
1,153100,ex152_apply_principle,4,0.690242509
1,153100,ex152_apply_principle,2,0.881518966
1,153100,ex152_apply_principle,4,0.697249803
1,153100,ex152_select_principle,2,0.881518966
1,153100,ex152_select_principle,2,0.881518966
1,153100,ex152_select_principle,2,0.881518966
1,153100,ex152_apply_principle,2,0.881518966
1,153100,ex152_select_principle,1,0.599510395
1,153100,ex152_apply_principle,1,0.679124242
1,153100,ex144_select_principle,7,0.372459825
1,153100,ex144_apply_principle,7,0.690422946
2,153100,ex144_select_principle,2,0.881518966
1,153100,ex144_apply_principle,2,0.881518966
1,153100,ex212_apply_principle,7,0.699848935
1,153100,ex212_select_principle,8,0.591421144
1,153100,ex212_apply_principle,8,0.64985775
1,153100,ex212_select_principle,2,0.881518966
1,153100,ex242_select_principle,9,0.51196209
1,153100,ex242_apply_principle,9,0.602106219
1,153100,ex242_select_principle,2,0.881518966
1,153100,ex242_select_principle,8,0.678926294
1,153100,ex242_apply_principle,8,0.691522385
1,153100,ex252a_apply_principle,9,0.656665929
1,153100,ex252a_apply_principle,2,0.881518966
1,153100,ex252_select_principle,9,0.68241135
1,153100,ex252_select_principle,2,0.881518966
2,153100,ex252_select_principle,2,0.881518966
1,153100,ex252_apply_principle,2,0.881518966
1,153100,ex252_select_principle,10,0.445738875
1,153100,ex252_apply_principle,10,0.594776344
1,153100,ex252_select_principle,10,0.679288335
1,153100,ex252_select_principle,10,0.710734491
1,153100,ex252_select_principle,10,0.720526304
2,153101,ex222_select_principle,1,0.207957778
