Correct,Sid,Substep,KC,Prediction
2,153100,ex222_select_principle,1,0.360669092
2,153100,ex222_apply_principle,1,0.382307715
1,153100,ex222_select_principle,2,0.527830848
1,153100,ex222_apply_principle,2,0.778169842
1,153100,ex222_select_principle,2,0.840467731
1,153100,ex222_apply_principle,2,0.850203984
1,153100,ex222_select_principle,2,0.851596697
1,153100,ex222_apply_principle,2,0.851793313
1,153100,exc137_apply_principle,3,0.486425621
2,153100,exc137_select_principle,4,0.482497855
1,153100,exc137_apply_principle,4,0.497887324
1,153100,exc137_apply_principle,2,0.851821019
1,153100,ex132a_select_principle,5,0.515922704
1,153100,ex132a_apply_principle,5,0.753195492
1,153100,ex132a_select_principle,6,0.488647772
1,153100,ex132a_select_principle,2,0.851824922
1,153100,ex132a_apply_principle,2,0.851825471
1,153100,ex132_select_principle,2,0.851825549
1,153100,ex132_apply_principle,2,0.85182556
1,153100,ex132_select_principle,6,0.708584079
1,153100,ex132_select_principle,3,0.706250042
1,153100,ex132_select_principle,2,0.851825561
1,153100,ex132_apply_principle,2,0.851825561
2,153100,ex132_select_principle,6,0.768615547
1,153100,ex132_apply_principle,6,0.755157039
1,153100,ex132_apply_principle,3,0.768101062
1,153100,ex132_select_principle,2,0.851825562
1,153100,ex132_apply_principle,2,0.851825562
1,153100,ex152a_select_principle,5,0.814000538
1,153100,ex152a_apply_principle,5,0.823876769
1,153100,ex152a_select_principle,3,0.779121931
1,153100,ex152a_select_principle,3,0.780902005
1,153100,ex152a_apply_principle,3,0.781184806
1,153100,ex152a_apply_principle,2,0.851825562
1,153100,ex152a_select_principle,1,0.390816129
1,153100,ex152a_select_principle,2,0.851825562
1,153100,ex152a_apply_principle,2,0.851825562
1,153100,ex152a_apply_principle,2,0.851825562
1,153100,ex152b_select_principle,5,0.825343291
1,153100,ex152b_apply_principle,6,0.776841278
1,153100,ex152b_select_principle,2,0.851825562
1,153100,ex152b_apply_principle,2,0.851825562
1,153100,ex152b_select_principle,2,0.851825562
1,153100,ex152b_select_principle,6,0.780334643
1,153100,ex152b_apply_principle,4,0.703742292
1,153100,ex152b_apply_principle,2,0.851825562
1,153100,ex152b_apply_principle,2,0.851825562
1,153100,ex152_select_principle,5,0.825558062
1,153100,ex152_apply_principle,5,0.825589451
1,153100,ex152_select_principle,4,0.758619168
1,153100,ex152_apply_principle,4,0.768220349
1,153100,ex152_apply_principle,2,0.851825562
1,153100,ex152_apply_principle,4,0.769759169
1,153100,ex152_select_principle,2,0.851825562
1,153100,ex152_select_principle,2,0.851825562
1,153100,ex152_select_principle,2,0.851825562
1,153100,ex152_apply_principle,2,0.851825562
1,153100,ex152_select_principle,1,0.675544353
1,153100,ex152_apply_principle,1,0.735149807
1,153100,ex144_select_principle,7,0.495438215
1,153100,ex144_apply_principle,7,0.714594537
2,153100,ex144_select_principle,2,0.851825562
1,153100,ex144_apply_principle,2,0.851825562
1,153100,ex212_apply_principle,7,0.775417156
1,153100,ex212_select_principle,8,0.476753148
1,153100,ex212_apply_principle,8,0.678706424
1,153100,ex212_select_principle,2,0.851825562
1,153100,ex242_select_principle,9,0.473440155
1,153100,ex242_apply_principle,9,0.685376651
1,153100,ex242_select_principle,2,0.851825562
1,153100,ex242_select_principle,8,0.736126776
1,153100,ex242_apply_principle,8,0.746700348
1,153100,ex252a_apply_principle,9,0.743960628
1,153100,ex252a_apply_principle,2,0.851825562
1,153100,ex252_select_principle,9,0.754266081
1,153100,ex252_select_principle,2,0.851825562
2,153100,ex252_select_principle,2,0.851825562
1,153100,ex252_apply_principle,2,0.851825562
1,153100,ex252_select_principle,10,0.480006845
1,153100,ex252_apply_principle,10,0.693925321
1,153100,ex252_select_principle,10,0.754371861
1,153100,ex252_select_principle,10,0.765240035
1,153100,ex252_select_principle,10,0.767012006
2,153101,ex222_select_principle,1,0.360669092
1,153101,ex222_apply_principle,1,0.382307715
1,153101,ex222_select_principle,2,0.527830848
1,153101,ex222_apply_principle,2,0.778169842
1,153101,ex222_select_principle,2,0.840467731
1,153101,ex222_apply_principle,2,0.850203984
1,153101,ex222_select_principle,2,0.851596697
1,153101,ex222_apply_principle,2,0.851793313
2,153101,exc137_select_principle,3,0.486425621
1,153101,exc137_apply_principle,3,0.498849231
2,153101,exc137_select_principle,4,0.482497855
1,153101,exc137_apply_principle,4,0.497887324
1,153101,exc137_select_principle,2,0.851821019
1,153101,exc137_apply_principle,2,0.851824922
1,153101,ex132a_select_principle,5,0.515922704
2,153101,ex132a_apply_principle,5,0.753195492
2,153101,ex132a_select_principle,6,0.488647772
1,153101,ex132a_apply_principle,6,0.504708585
1,153101,ex132a_select_principle,6,0.714738685
1,153101,ex132a_apply_principle,6,0.769764047
1,153101,ex132a_select_principle,2,0.851825471
1,153101,ex132a_apply_principle,2,0.851825549
1,153101,ex132a_select_principle,2,0.85182556
1,153101,ex132a_apply_principle,2,0.851825561
1,153101,ex132a_select_principle,2,0.851825561
1,153101,ex132a_apply_principle,2,0.851825562
1,153101,ex132_select_principle,5,0.685627592
1,153101,ex132_apply_principle,5,0.800971017
2,153101,ex132_select_principle,3,0.711198933
1,153101,ex132_apply_principle,3,0.66193627
1,153101,ex132_select_principle,3,0.758938648
1,153101,ex132_apply_principle,3,0.777602676
1,153101,ex132_select_principle,6,0.779216126
1,153101,ex132_apply_principle,6,0.780705422
1,153101,ex132_select_principle,6,0.780936791
1,153101,ex132_apply_principle,6,0.780972656
1,153101,ex132_select_principle,2,0.851825562
1,153101,ex132_apply_principle,2,0.851825562
1,153101,ex132_select_principle,2,0.851825562
1,153101,ex132_apply_principle,2,0.851825562
1,153101,ex132_select_principle,2,0.851825562
1,153101,ex132_apply_principle,2,0.851825562
1,153101,ex152a_select_principle,5,0.821886687
1,153101,ex152a_apply_principle,5,0.825050619
1,153101,ex152a_select_principle,3,0.780659615
1,153101,ex152a_apply_principle,3,0.781146373
1,153101,ex152a_select_principle,3,0.781223529
1,153101,ex152a_apply_principle,3,0.78123575
2,153101,ex152a_select_principle,1,0.672397004
1,153101,ex152a_apply_principle,1,0.613417843
1,153101,ex152a_select_principle,2,0.851825562
1,153101,ex152a_apply_principle,2,0.851825562
1,153101,ex152a_select_principle,2,0.851825562
1,153101,ex152a_apply_principle,2,0.851825562
1,153101,ex152a_select_principle,2,0.851825562
2,153101,ex152a_apply_principle,2,0.851825562
1,153101,ex152b_select_principle,5,0.825515261
1,153101,ex152b_apply_principle,5,0.825583197
1,153101,ex152b_select_principle,6,0.780978214
1,153101,ex152b_apply_principle,6,0.780979075
1,153101,ex152b_select_principle,6,0.780979208
1,153101,ex152b_apply_principle,6,0.780979229
2,153101,ex152b_select_principle,4,0.703742292
1,153101,ex152b_apply_principle,4,0.660424316
1,153101,ex152b_select_principle,2,0.851825562
1,153101,ex152b_apply_principle,2,0.851825562
1,153101,ex152b_select_principle,4,0.749913458
1,153101,ex152b_apply_principle,4,0.766790988
1,153101,ex152b_select_principle,2,0.851825562
1,153101,ex152b_apply_principle,2,0.851825562
1,153101,ex152b_select_principle,2,0.851825562
1,153101,ex152b_apply_principle,2,0.851825562
1,153101,ex152b_select_principle,2,0.851825562
1,153101,ex152b_apply_principle,2,0.851825562
1,153101,ex152b_select_principle,2,0.851825562
