de_morgan	#correct substeps	#total substeps	Total time
Max	12	14	6557000
Min	0	1	52000
Range	12	13	6505000
Mean	5.490384615	8.879807692	705687.5
Correct %	0.618299946		
Total students	208		
SD	2.828427125	3.16227766	3220.918658
conditional_independent_events			
Max	12	12	4160000
Min	0	2	21000
Range	12	10	4139000
Mean	5.943037975	9.588607595	656860.7595
Correct %	0.61980198		
Total students	158		
SD	3	2.645751311	3698.410334
conditional_probability			
Max	11	12	9908000
Min	0	1	21000
Range	11	11	9887000
Mean	4.612244898	7.551020408	500959.1837
Correct %	0.610810811		
Total students	196		
SD	2.236067977	2.828427125	3318.544259
complement_theorem			
Max	59	65	2653000
Min	5	8	140000
Range	54	57	2513000
Mean	40.87735849	47.07075472	796202.8302
Correct %	0.86842369		
Total students	212		
SD	12.489996	12.52996409	3190.242467
mutually_exclusive_events			
Max	12	12	6286000
Min	0	1	25000
Range	12	11	6261000
Mean	6.048780488	9.36097561	344736.5854
Correct %	0.64616988		
Total students	205		
SD	2.828427125	2.645751311	3244.515372
total_probability_theorem			
Max	6	6	3.75E+07
Min	0	1	35000
Range	6	5	3.75E+07
Mean	3.023584906	4.839622642	634617.9245
Correct %	0.624756335		
Total students	212		
SD	1.414213562	1	3190.242467
independent_events			
Max	6	10	2.27E+07
Min	0	2	69000
Range	6	8	2.26E+07
Mean	2.311320755	5.132075472	743929.2453
Correct %	0.450367647		
Total students	212		
SD	1	1	3190.242467
addition_theorem_three_events			
Max	10	10	6.31E+07
Min	0	1	8000
Range	10	9	6.30E+07
Mean	5.497584541	7.270531401	1442371.981
Correct %	0.756146179		
Total students	207		
SD	2.645751311	2.449489743	3228.726839
addition_theorem			
Max	10	16	9397000
Min	0	1	63000
Range	10	15	9334000
Mean	4.781553398	7.660194175	546223.301
Correct %	0.624207858		
Total students	206		
SD	2.449489743	2.645751311	3236.592189
bayes_rule			
Max	6	6	5087000
Min	0	1	11000
Range	6	5	5076000
Mean	1.877005348	3.449197861	681417.1123
Correct %	0.544186047		
Total students	187		
SD	1	1.414213562	3397.883312
